Show,A,Z,N,symb,symb A,radius, unc, energy, unc, jp, half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quad , unc,Qb-,unc,Qb- n,unc,Qa, unc, Qec, unc,Sn,unc, Sp,unc,Binding/A,unc,Total BE MeV,atomic mass, unc, mass excess,unc
2,14,7,7,N,N 14,2.5582,70,0, ,1+, ,STABLE, , , , , , , , , , , , , ,0,0.403761, ,0.0193, ,-5144.364,25,-28323.33,10,-11612.11,1,-156.476,4,10553.38,27,7550.56,0,7475.614,0,104.658596,14003074.00446,21,2863.41672,19
0,14,8,6,O,O 14,,,0, ,0+, ,70.606,18,s,70.606,0.018,EC+B+,100, , , , , , , ,1, , , , ,-23956.622,41119,,,-10115.81,7,5144.364,25,23178.97,10,4626.67,27,7052.278,2,98.731892,14008596.706,27,8007.781,25
0,14,9,5,F,F 14,,,0, ,2-, ,910,100,keV,5.013601264521E-22,4.5623771507139E-21, , , , , , , , , , , , , , ,,,,,-9260.54,402,23956.621,41,,,-1560,40,5285.208,2937,73.992912,14034315.199,44142,31964.402,41119
0,15,4,11,Be,Be 15,,,0, ,(5/2+), ,0.58,20,MeV,7.86616750123079E-22,2.28118857535693E-21,N,100, , , , , , , , , , , , ,20867.573,167126,18090.81,167,,,,,-1800,100,,,4540.97,11053,68.11455,15053490.215,177990,49825.815,165797
0,15,5,10,B,B 15,,,0, , , ,9.93,7,ms,0.00993,7E-05,B-,100, ,B-5N,99.68, ,B-5N,99.68, , , , , , ,19085.098,21047,17867.03,21,-14194.93,21,-20867.573,167,2776.76,30,18285.23,134,5879.985,1402,88.199775,15031087.953,22578,28958.242,21032
0,15,6,9,C,C 15,,,0, ,1/2+, ,2.449,5,s,2.449,0.005,B-,100, , , , , , , ,3/2,1.32, , , ,9771.705,800,-1061.59,80,-12728.94,83,-19085.098,21,1218.07,80,21079.51,21,7100.169,53,106.502535,15010599.256,858,9873.144,800
1,15,7,8,N,N 15,2.6058,80,0, ,1/2-, ,STABLE, , , , , , , , , , , , , ,1/2,-0.28318884, , , ,-2754.166,491,-15977.66,3,-10991.18,1,-9771.705,8,10833.3,0,10207.42,0,7699.46,0,115.4919,15000108.89894,65,101.43871,59
0,15,8,7,O,O 15,,,0, ,1/2-, ,122.24,16,s,122.24,0.16,EC+B+,100, , , , , , , ,1/2,0.7189, , , ,-13711.146,14009,-37180.11,41,-10218.71,49,2754.166,491,13223.49,49,7296.78,49,7463.692,33,111.95538,15003065.618,526,2855.605,491
0,15,9,6,F,F 15,,,0, ,1/2+, ,660,20,keV,6.912692652597E-22,2.28118857535693E-20,P,100, , , , , , , , , , , , ,-23648.622,68138,,,-10161.72,48,13711.146,14,23468.97,43,-1270,14,6497.459,933,97.461885,15017785.139,15029,16566.751,14000
0,15,10,5,Ne,Ne 15,,,0, ,(3/2-), ,0.59, ,MeV,7.73284262832857E-22, ,2P,100, , , , , , , , , , , , ,,,,,,,23648.622,68,,,-962,77,4868.728,4446,73.03092,15043172.98,71588,40215.373,66684
0,16,4,12,Be,Be 16,,,0, ,0+, ,0.8,2,MeV,5.70297143839232E-22,2.28118857535693E-21,N,100, , , , , , , , , , , , ,20334.623,167608,20417.57,167,,,,,450,141,,,4285.285,10362,68.56456,16061672.036,177990,57447.132,165797
0,16,5,11,B,B 16,,,0, , ,LT,100, ,keV,4.5623771507139E-21, ,N,100, , , , , , , , , , , , ,23418.378,24828,19168.05,25,-14321.98,39,-20334.622,168,-82.95,15,20002.28,168,5507.302,1536,88.116832,16039841.92,26375,37112.51,24569
0,16,6,10,C,C 16,,,0, ,0+, ,0.747,8,s,0.747,0.008,B-,100, ,B-N,99,0.3, , , ,2, , , , ,8010.225,4254,5521.38,4,-13808.54,4,-23418.378,25,4250.33,4,22553.08,21,6922.054,224,110.752864,16014701.256,3840,13694.132,3578
0,16,7,9,N,N 16,,,0, ,2-, ,7.13,2,s,7.13,0.02,B-,100, ,B-A,0.0012,0.0005, , , ,1, , , , ,10420.908,2301,-5243.02,235,-10110.41,265,-8010.225,4,2488.85,229,11478.21,244,7373.796,144,117.980736,16006101.925,2470,5683.907,2301
2,16,8,8,O,O 16,2.6991,52,0, ,0+, ,STABLE, , , , , , , , , , , , , ,0, , , , ,-15417.254,8321,-29375.07,14,-7161.92,0,-10420.908,2301,15663.92,49,12127.41,0,7976.206,0,127.619296,15994914.6196,17,-4737.00135,16
0,16,9,7,F,F 16,,,0, ,0-, ,40,20,keV,1.14059428767846E-20,2.28118857535693E-20,P,100, , , , , , , ,1, , , , ,-13306.523,22106,-37606.44,67,-9082.73,8,15417.254,8,13957.82,16,-535.68,8,6963.731,520,111.419696,16011465.723,8932,10680.253,8321
0,16,10,6,Ne,Ne 16,,,0, ,0+, ,122,37,keV,3.7396534022245E-21,1.23307490559834E-20,P,100, , , , , , , ,2, , , , ,,,,,-10352.75,32,13306.523,22,24299.91,70,-131.05,25,6083.177,1280,97.330832,16025750.864,21986,23986.776,20480
